Sp. Def,Sp. Atk,Legendary,Generation,Total,Name,Entry,Attack,HP,Speed,Defense,Type 2,Type 1,#
45,45,False,5,351,Krokorok,"Krokorok really hates it when its body gets
cold. On nights when the temperature drops,
it digs deep into the desert sands.",82,60,74,45,Dark,Ground,552
70,65,False,5,519,Krookodile,"When it spots prey, even at a distance of over
30 miles, it swims through the desert as if it
were water, then jumps out and chomps them.",117,95,92,80,Dark,Ground,553
45,15,False,5,315,Darumaka,"When it sleeps, it pulls its limbs into its
body and its internal fire goes down to
1,100 degrees Fahrenheit.",90,70,50,45,,Fire,554
55,30,False,5,480,DarmanitanStandard Mode,"Its internal fire burns at 2,500 degrees Fahrenheit,
making enough power that it can destroy a dump
truck with one punch.",140,105,95,55,,Fire,555
67,106,False,5,461,Maractus,"Arid regions are their habitat. They move
rhythmically, making a sound similar to maracas.",86,75,60,67,,Grass,556
35,35,False,5,325,Dwebble,"When it finds a stone of a suitable size, it secretes
a liquid from its mouth to open up a hole to
crawl into.",65,50,55,85,Rock,Bug,557
75,65,False,5,475,Crustle,"Competing for territory, Crustle fight viciously.
The one whose boulder is broken is the loser of
the battle.",95,70,45,125,Rock,Bug,558
70,35,False,5,348,Scraggy,"They move in small groups, walking around lazily.
Anyone who makes eye contact gets smacked
with a headbutt.",75,50,48,70,Fighting,Dark,559
115,45,False,5,488,Scrafty,"This Pokémon may be rude, but it takes very
good care of its family, its friends, and its turf.",90,65,58,115,Fighting,Dark,560
80,103,False,5,490,Sigilyph,"The guardians of an ancient city, they always fly
the same route while keeping watch for invaders.",58,72,97,80,Flying,Psychic,561
65,55,False,5,303,Yamask,"Each of them carries a mask that used to be its face
when it was human. Sometimes they look at it
and cry.",30,38,30,85,,Ghost,562
105,95,False,5,483,Cofagrigus,"Grave robbers who mistake them for real coffins and
get too close end up trapped inside their bodies.",50,58,30,145,,Ghost,563
45,53,False,5,355,Tirtouga,"It was restored from an ancient fossil. Tirtouga
lived in the sea but came up onto the land to
search for prey.",78,54,22,103,Rock,Water,564
65,83,False,5,495,Carracosta,"Its jaws are terrifyingly powerful. It could eat
Omastar and Omanyte whole and not be
bothered in the slightest by their shells.",108,74,32,133,Rock,Water,565
45,74,False,5,401,Archen,"Once thought to be the ancestor of all bird
Pokémon, some of the latest research suggests
that may not be the case.",112,55,70,45,Flying,Rock,566
65,112,False,5,567,Archeops,"This ancient Pokémon’s plumage is delicate,
so if anyone other than an experienced
professional tries to restore it, they will fail.",140,75,110,65,Flying,Rock,567
62,40,False,5,329,Trubbish,"Poisonous gas leaks out of it when it breathes.
Muk that catch a whiff of that stench will
come drooling.",50,50,65,62,,Poison,568
82,60,False,5,474,Garbodor,"It locks opponents in place with its left hand,
immobilizing them by entirely dousing their
bodies with poisonous liquid.",95,80,75,82,,Poison,569
40,80,False,5,330,Zorua,"This Pokémon has a cowardly disposition, so
when it’s not around friends, it basically
always stays transformed as something else.",65,40,65,40,,Dark,570
60,120,False,5,510,Zoroark,"It doesn’t just transform itself—it also has the
power to make hundreds of people see
its illusions.",105,60,105,60,,Dark,571
40,40,False,5,300,Minccino,"A clean freak that will not allow even the
slightest mess, it uses its tail like a mop to
thoroughly clean any and all filth.",50,55,75,40,,Normal,572
60,65,False,5,470,Cinccino,"The white parts of its coat are covered in an oil
secreted from its body, so this Pokémon can
slide right away from its enemies’ attacks.",95,75,115,60,,Normal,573
65,55,False,5,290,Gothita,"They intently observe both Trainers and Pokémon.
Apparently, they are looking at something that only
Gothita can see.",30,45,45,50,,Psychic,574
85,75,False,5,390,Gothorita,"According to many old tales, it creates friends for
itself by controlling sleeping children on
starry nights.",45,60,55,70,,Psychic,575
110,95,False,5,490,Gothitelle,"They can predict the future from the placement and
movement of the stars. They can see Trainers’
life spans.",55,70,65,95,,Psychic,576
50,105,False,5,290,Solosis,"They drive away attackers by unleashing psychic
power. They can use telepathy to talk with others.",30,45,20,40,,Psychic,577
60,125,False,5,370,Duosion,"When their two divided brains think the same
thoughts, their psychic power is maximized.",40,65,30,50,,Psychic,578
85,125,False,5,490,Reuniclus,"When Reuniclus shake hands, a network forms
between their brains, increasing their
psychic power.",65,110,30,75,,Psychic,579
50,44,False,5,305,Ducklett,"They are better at swimming than flying, and they
happily eat their favorite food, peat moss, as they
dive underwater.",44,62,55,50,Flying,Water,580
63,87,False,5,473,Swanna,"Swanna start to dance at dusk. The one dancing in
the middle is the leader of the flock.",87,75,98,63,Flying,Water,581
60,65,False,5,305,Vanillite,"It exhales cold air that is at –58 degrees
Fahrenheit. When it’s in a warm place, it shrinks
little by little.",50,36,44,50,,Ice,582
75,80,False,5,395,Vanillish,"It sprays its enemies with grains of ice to freeze
them. Most Vanillish in Alola are smaller
than average.",65,51,59,65,,Ice,583
95,110,False,5,535,Vanilluxe,"It blasts blizzards from its two mouths. It can
create snow anywhere, so it gets a lot of love
from skiers and snowboarders.",95,71,79,85,,Ice,584
50,40,False,5,335,Deerling,"The turning of the seasons changes the color and
scent of this Pokémon’s fur. People use it to mark
the seasons.",60,60,75,50,Grass,Normal,585
70,60,False,5,475,Sawsbuck,"They migrate according to the seasons, so some
people call Sawsbuck the harbingers of spring.",100,80,95,70,Grass,Normal,586
60,75,False,5,428,Emolga,"They store up electricity to fly through the air.
When thunder cracks at night, sometimes there
are almost enough of them to blot out the sky.",75,55,103,60,Flying,Electric,587
45,40,False,5,315,Karrablast,"For some reason they evolve when they receive
electrical energy while they are attacking Shelmet.",75,50,60,45,,Bug,588
105,60,False,5,495,Escavalier,"These Pokémon evolve by wearing the shell
covering of a Shelmet. The steel armor protects
their whole body.",135,70,20,105,Steel,Bug,589
55,55,False,5,294,Foongus,"It lures Pokémon with its pattern that looks just like
a Poké Ball, then releases poison spores.",55,69,15,45,Poison,Grass,590
80,85,False,5,464,Amoonguss,"It lures prey close by dancing and waving its
arm caps, which resemble Poké Balls, in a
swaying motion.",85,114,30,70,Poison,Grass,591
85,65,False,5,335,Frillish,"It wraps its veillike arms and legs around prey
swimming by and drags them down to the
depths of the ocean.",40,55,40,50,Ghost,Water,592
105,85,False,5,480,Jellicent,"Jellicent is always hanging around fancy cruise
ships and tankers, hoping to drag away its prey.",60,100,60,70,Ghost,Water,593
45,40,False,5,470,Alomomola,"Fishermen take them along on long voyages,
because if you have an Alomomola with you,
there’ll be no need for a doctor or medicine.",75,165,65,80,,Water,594
50,57,False,5,319,Joltik,"They attach themselves to large-bodied Pokémon
and absorb static electricity, which they store in an
electric pouch.",47,50,65,50,Electric,Bug,595
60,97,False,5,472,Galvantula,"When attacked, they create an electric barrier by
spitting out many electrically charged threads.",77,70,108,60,Electric,Bug,596
86,24,False,5,305,Ferroseed,"It absorbs the iron it finds in the rock while clinging
to the ceiling. It shoots spikes when in danger.",50,44,10,91,Steel,Grass,597
116,54,False,5,489,Ferrothorn,"They attach themselves to cave ceilings, firing steel
spikes at targets passing beneath them.",94,74,20,131,Steel,Grass,598
60,45,False,5,300,Klink,"The two minigears that mesh together are
predetermined. Each will rebound from other
minigears without meshing.",55,40,30,70,,Steel,599
85,70,False,5,440,Klang,"A minigear and big gear comprise its body. If the
minigear it launches at a foe doesn’t return, it
will die.",80,60,50,95,,Steel,600
85,70,False,5,520,Klinklang,"Its red core functions as an energy tank. It fires the
charged energy through its spikes into an area.",100,60,90,115,,Steel,601
40,45,False,5,275,Tynamo,"One alone can emit only a trickle of electricity,
so a group of them gathers to unleash a powerful
electric shock.",55,35,60,40,,Electric,602
70,75,False,5,405,Eelektrik,"These Pokémon have a big appetite. When they
spot their prey, they attack it and paralyze it
with electricity.",85,65,40,70,,Electric,603
80,105,False,5,515,Eelektross,"They crawl out of the ocean using their arms.
They will attack prey on shore and immediately drag
it into the ocean.",115,85,50,80,,Electric,604
55,85,False,5,335,Elgyem,"It controls tremendous psychic power. Most
reports of alien sightings are actually just
people mistaking Elgyem for an alien.",55,55,30,55,,Psychic,605
95,125,False,5,485,Beheeyem,"With its psychic powers, it rewrites its
opponents’ memories. You, too, may have
already had your memories rewritten.",75,75,40,75,,Psychic,606
55,65,False,5,275,Litwick,"Litwick shines a light that absorbs the life energy of
people and Pokémon, which becomes the fuel that
it burns.",30,50,20,55,Fire,Ghost,607
60,95,False,5,370,Lampent,"It arrives near the moment of death and steals spirit
from the body.",40,60,55,60,Fire,Ghost,608
90,145,False,5,520,Chandelure,"The spirits burned up in its ominous flame lose their
way and wander this world forever.",55,60,80,90,Fire,Ghost,609
40,30,False,5,320,Axew,"They mark their territory by leaving gashes in trees
with their tusks. If a tusk breaks, a new one grows
in quickly.",87,46,57,60,,Dragon,610
50,40,False,5,410,Fraxure,"A broken tusk will not grow back, so it diligently
sharpens its tusks on river rocks after the end of
a battle.",117,66,67,70,,Dragon,611
70,60,False,5,540,Haxorus,"Their sturdy tusks will stay sharp even if used to cut
steel beams. These Pokémon are covered in
hard armor.",147,76,97,90,,Dragon,612
40,60,False,5,305,Cubchoo,"Their snot is a barometer of health. When healthy,
their snot is sticky and the power of their ice
moves increases.",70,55,40,40,,Ice,613
80,70,False,5,485,Beartic,"It freezes its breath to create fangs and claws of ice
to fight with. Cold northern areas are its habitat.",110,95,50,80,,Ice,614
135,95,False,5,485,Cryogonal,"They are composed of ice crystals. They capture
prey with chains of ice, freezing the prey at
-148 degrees Fahrenheit.",50,70,105,30,,Ice,615
65,40,False,5,305,Shelmet,"It evolves when bathed in an electric-like energy
along with Karrablast. The reason is still unknown.",40,50,25,85,,Bug,616
60,100,False,5,495,Accelgor,"When its body dries out, it weakens. So, to prevent
dehydration, it wraps itself in many layers of
thin membrane.",70,80,145,40,,Bug,617
99,81,False,5,471,Stunfisk,"It conceals itself in the mud of the seashore.
Then it waits. When prey touch it, it delivers a jolt
of electricity.",66,109,32,84,Electric,Ground,618
50,55,False,5,350,Mienfoo,"They can often be seen in packs in the morning,
slowly moving their bodies through a series
of poses.",85,45,65,50,,Fighting,619
60,95,False,5,510,Mienshao,"It overwhelms its opponents with continuous
attacks and then slowly stores up power
before delivering the finishing blow.",125,65,105,60,,Fighting,620
90,60,False,5,485,Druddigon,"The red skin on its face is harder than rock.
In narrow caves, it squares off against its
enemies and charges face-first right into them.",120,77,48,90,,Dragon,621
50,35,False,5,303,Golett,"Its movements are powered by a mysterious
energy. It has continued to move since ancient
times, so its power may soon run out.",74,59,35,50,Ghost,Ground,622
80,55,False,5,483,Golurk,"Some say that ancient people invented Golurk
to serve as a laborer. It follows its master’s
orders faithfully.",124,89,55,80,Ghost,Ground,623
40,40,False,5,340,Pawniard,"After shredding its prey, it sharpens its blades
on a stone by the river. Each Pawniard has its
own favorite sharpening stone.",85,45,60,70,Steel,Dark,624
70,60,False,5,490,Bisharp,"No matter how strong the Bisharp, it’s said
that if the blade on its head is chipped, it will
retire from its position as the boss.",125,65,70,100,Steel,Dark,625
95,40,False,5,490,Bouffalant,"Their fluffy fur absorbs damage, even if they strike
foes with a fierce headbutt.",110,95,55,95,,Normal,626
50,37,False,5,350,Rufflet,"With its powerful legs and sturdy claws, it can
crack even the hard shells of Shellder and pluck
out their insides.",83,70,60,50,Flying,Normal,627
75,57,False,5,510,Braviary,"The more scars it has on its front, the more
heroic it’s considered to be. Those with many
scars on their back are mocked by the flock.",123,100,80,75,Flying,Normal,628
65,45,False,5,370,Vullaby,"Mandibuzz gives it the bones it wears. Vullaby’s
wings are short, so it can’t fly yet, but it jumps
around, dreaming of wide open skies.",55,70,60,75,Flying,Dark,629
95,55,False,5,510,Mandibuzz,"It skillfully arranges the bones of its prey to
construct its nest. Most of the bones
are Cubone.",65,110,80,105,Flying,Dark,630
66,105,False,5,484,Heatmor,"It draws in air through its tail, transforms it into fire,
and uses it like a tongue. It melts Durant and
eats them.",97,85,65,66,,Fire,631
48,48,False,5,484,Durant,"They attack in groups, covering themselves in steel
armor to protect themselves from Heatmor.",109,58,109,112,Steel,Bug,632
50,45,False,5,300,Deino,"Lacking sight, it’s unaware of its surroundings,
so it bumps into things and eats anything
that moves.",65,52,38,50,Dragon,Dark,633
70,65,False,5,420,Zweilous,"After it has eaten up all the food in its territory,
it moves to another area. Its two heads do not
get along.",85,72,58,70,Dragon,Dark,634
90,125,False,5,600,Hydreigon,"It responds to movement by attacking. This scary,
three-headed Pokémon devours everything in
its path!",105,92,98,90,Dragon,Dark,635
55,50,False,5,360,Larvesta,"When battling opponents, it sprays fire from its
five horns. The max temperature of the flames
can reach nearly 5,500 degrees Fahrenheit.",85,55,60,55,Fire,Bug,636
105,135,False,5,550,Volcarona,"As it flies, it scatters its flaming scales. It was
feared by ancient people, who referred to it as
“the rage of the sun.”",60,85,100,65,Fire,Bug,637
72,90,True,5,580,Cobalion,"It has a body and heart of steel. It worked with its
allies to punish people when they hurt Pokémon.",90,91,108,129,Fighting,Steel,638
90,72,True,5,580,Terrakion,"Spoken of in legend, this Pokémon used its
phenomenal power to destroy a castle in its effort
to protect Pokémon.",129,91,108,90,Fighting,Rock,639
129,90,True,5,580,Virizion,"Legends say this Pokémon confounded opponents
with its swift movements.",90,91,108,72,Fighting,Grass,640
80,125,True,5,580,TornadusIncarnate Forme,"Tornadus expels massive energy from its tail,
causing severe storms. Its power is great enough
to blow houses away.",115,79,111,70,,Flying,641
80,125,True,5,580,ThundurusIncarnate Forme,"As it flies around, it shoots lightning all over
the place and causes forest fires. It is
therefore disliked.",115,79,111,70,Flying,Electric,642
120,150,True,5,680,Reshiram,"When Reshiram’s tail flares, the heat energy moves
the atmosphere and changes the world’s weather.",120,100,90,100,Fire,Dragon,643
100,120,True,5,680,Zekrom,"Concealing itself in lightning clouds, it flies
throughout the Unova region. It creates electricity
in its tail.",150,100,90,120,Electric,Dragon,644
80,115,True,5,600,LandorusIncarnate Forme,"From the forces of lightning and wind, it creates
energy to give nutrients to the soil and make the
land abundant.",125,89,101,90,Flying,Ground,645
90,130,True,5,660,Kyurem,"It generates a powerful, freezing energy inside
itself, but its body became frozen when the energy
leaked out.",130,125,95,90,Ice,Dragon,646
90,129,False,5,580,KeldeoOrdinary Forme,"When it is resolute, its body fills with power and it
becomes swifter. Its jumps are then too fast
to follow.",72,91,108,90,Fighting,Water,647
128,128,False,5,600,MeloettaAria Forme,"Its melodies are sung with a special vocalization
method that can control the feelings of those who
hear it.",77,100,90,77,Psychic,Normal,648
95,120,False,5,600,Genesect,"This Pokémon existed 300 million years ago. Team
Plasma altered it and attached a cannon to its back.",120,71,99,95,Steel,Bug,649
45,48,False,6,313,Chespin,"Such a thick shell of wood covers its head and back
that even a direct hit from a truck wouldn’t faze it.",61,56,38,65,,Grass,650
58,56,False,6,405,Quilladin,"They strengthen their lower bodies by
running into one another. They are very
kind and won’t start fights.",78,61,57,95,,Grass,651
75,74,False,6,530,Chesnaught,"When it takes a defensive posture with its fists
guarding its face, it could withstand a bomb blast.",107,88,64,122,Fighting,Grass,652
60,62,False,6,307,Fennekin,"As it walks, it munches on a twig in place
of a snack. It intimidates opponents
by puffing hot air out of its ears.",45,40,60,40,,Fire,653
70,90,False,6,409,Braixen,"When the twig is plucked from its tail,
friction sets the twig alight. The flame
is used to send signals to its allies.",59,59,73,58,,Fire,654
100,114,False,6,534,Delphox,"Using psychic power, it generates a
fiery vortex of 5,400 degrees Fahrenheit,
incinerating foes swept into this whirl of flame.",69,75,104,72,Psychic,Fire,655
44,62,False,6,314,Froakie,"It protects its skin by covering its body in
delicate bubbles. Beneath its happy-go-lucky air,
it keeps a watchful eye on its surroundings.",56,41,71,40,,Water,656
56,83,False,6,405,Frogadier,"Its swiftness is unparalleled.
It can scale a tower of more
than 2,000 feet in a minute’s time.",63,54,97,52,,Water,657
71,103,False,6,530,Greninja,"It appears and vanishes with a ninja’s grace.
It toys with its enemies using swift movements, while
slicing them with throwing stars of sharpest water.",95,72,122,67,Dark,Water,658
36,32,False,6,237,Bunnelby,"It has ears like shovels. Digging holes
strengthens its ears so much that they
can sever thick roots effortlessly.",36,38,57,38,,Normal,659
77,50,False,6,423,Diggersby,"As powerful as an excavator, its ears
can reduce dense bedrock to rubble.
When it’s finished digging, it lounges lazily.",56,85,78,77,Ground,Normal,660
38,40,False,6,278,Fletchling,"While it’s an amiable Pokémon, if you touch it
unexpectedly, it will heat up its body in an
instant, and you’ll be burned.",50,45,62,43,Flying,Normal,661
52,56,False,6,382,Fletchinder,"It scatters embers in the tall grass. Then bug
Pokémon, frightened by the flames, come
flying out, and Fletchinder gobbles them up.",73,62,84,55,Flying,Fire,662
69,74,False,6,499,Talonflame,"Its tough wings don’t allow fire to pass through
them. A long time ago, firefighters’ outfits were
made from Talonflame wings.",81,78,126,71,Flying,Fire,663
25,27,False,6,200,Scatterbug,"The powder that covers its body
regulates its temperature, so it
can live in any region or climate.",35,38,35,40,,Bug,664
30,27,False,6,213,Spewpa,"The beaks of bird Pokémon can’t begin
to scratch its stalwart body.
To defend itself, it spews powder.",22,45,29,60,,Bug,665
50,90,False,6,411,Vivillon,"The patterns on this Pokémon’s wings
depend on the climate and topography
of its habitat. It scatters colorful scales.",52,80,89,50,Flying,Bug,666
54,73,False,6,369,Litleo,"When they’re young, they live with a pride. Once
they’re able to hunt prey on their own, they’re
kicked out and have to make their own way.",50,62,72,58,Normal,Fire,667
66,109,False,6,507,Pyroar,"The males are usually lazy, but when attacked
by a strong foe, a male will protect its friends
with no regard for its own safety.",68,86,106,72,Normal,Fire,668
79,61,False,6,303,Flabébé,"It’s not safe without the power of a flower, but
it will keep traveling around until it finds one
with the color and shape it wants.",38,44,42,39,,Fairy,669
98,75,False,6,371,Floette,"It raises flowers and uses them as weapons.
The more gorgeous the blossom, the more
power it contains.",45,54,52,47,,Fairy,670
154,112,False,6,552,Florges,"It controls the flowers it grows. The petal
blizzards that Florges triggers are overwhelming
in their beauty and power.",65,78,75,68,,Fairy,671
57,62,False,6,350,Skiddo,"If it has sunshine and water, it doesn’t
need to eat, because it can generate
energy from the leaves on its back.",65,66,52,48,,Grass,672
81,97,False,6,531,Gogoat,"They inhabit mountainous regions.
The leader of the herd is decided by
a battle of clashing horns.",100,123,68,62,,Grass,673
48,46,False,6,348,Pancham,"It follows Pangoro around like a henchman.
When Pancham makes a big mistake, its leaf
gets taken away.",82,67,43,62,,Fighting,674
71,69,False,6,495,Pangoro,"This rowdy Pokémon boasts great physical
strength. Many Trainers are also smitten by its
lively character.",124,95,58,78,Dark,Fighting,675
90,65,False,6,472,Furfrou,"There was an era when aristocrats would
compete to see who could trim their Furfrou’s
fur into the most exquisite style.",80,75,102,60,,Normal,676
60,63,False,6,355,Espurr,"It has enough psychic energy to blast
everything within 300 feet of itself,
but it has no control over its power.",48,62,68,54,,Psychic,677
81,83,False,6,466,MeowsticMale,"The eyeball patterns on the interior of its ears
emit psychic energy. It keeps the patterns tightly
covered because that power is too immense.",48,74,104,76,,Psychic,678
37,35,False,6,325,Honedge,"If anyone dares to grab its hilt, it wraps
a blue cloth around that person’s arm and
drains that person’s life energy completely.",80,45,28,100,Ghost,Steel,679
49,45,False,6,448,Doublade,"The complex attack patterns of its two swords
are unstoppable, even for an opponent
greatly accomplished at swordplay.",110,59,35,150,Ghost,Steel,680
50,150,False,6,520,AegislashBlade Forme,"Apparently, it can detect the innate qualities
of leadership. According to legend, whoever it
recognizes is destined to become king.",150,60,60,50,Ghost,Steel,681
65,63,False,6,341,Spritzee,"In the past, rather than using perfume,
royal ladies carried a Spritzee
that would waft a fragrance they liked.",52,78,23,60,,Fairy,682
89,99,False,6,462,Aromatisse,"Its scent is so overpowering that, unless a Trainer
happens to really enjoy the smell, he or she will
have a hard time walking alongside it.",72,101,29,72,,Fairy,683
57,59,False,6,341,Swirlix,"Because it eats nothing but sweets,
its fur is as sticky sweet as cotton candy.",48,62,49,66,,Fairy,684
75,85,False,6,480,Slurpuff,"Its sense of smell is 100 million times better than
a human’s, so even the faintest scent tells it about
everything in the area. It’s like it can see with its nose!",80,82,72,86,,Fairy,685
46,37,False,6,288,Inkay,"It draws prey near with its blinking lights and
then wraps them up in its long tentacles and
holds them in place.",54,53,45,53,Psychic,Dark,686
75,68,False,6,482,Malamar,"When it comes to strong hypnosis, there’s an
endless number of people who utilize Malamar
for their nefarious deeds.",92,86,73,88,Psychic,Dark,687
56,39,False,6,306,Binacle,"They stretch and then contract, yanking their
rocks along with them in bold hops. They eat
seaweed that washes up on the shoreline.",52,42,50,67,Water,Rock,688
86,54,False,6,500,Barbaracle,"Barbaracle’s legs and hands have minds
of their own, and they will move independently.
But they usually follow the head’s orders.",105,72,68,115,Water,Rock,689
60,60,False,6,320,Skrelp,"It vanishes into seaweed and remains perfectly
still to avoid attacks from large Pokémon.
Rotten seaweed is its main food source.",60,50,30,60,Water,Poison,690
123,97,False,6,494,Dragalge,"This vicious Pokémon sprays a poisonous liquid
on opponents that come near. For whatever
reason, it gets along really well with Dhelmise.",75,65,44,90,Dragon,Poison,691
63,58,False,6,330,Clauncher,"Its claws occasionally fall off, and it keeps a low
profile until they grow back. The meat of its
claws is so delicious!",53,50,44,62,,Water,692
89,120,False,6,500,Clawitzer,"It compresses the water it has sucked up and
then projects it with enough power to punch a
hole right through a thick sheet of iron.",73,71,59,88,,Water,693
43,61,False,6,289,Helioptile,"The frills on either side of its head have cells
that generate electricity when exposed to sunlight.",38,44,70,33,Normal,Electric,694
94,109,False,6,481,Heliolisk,"It stimulates its muscles with electricity,
boosting the strength in its legs and enabling
it to run 100 yards in five seconds.",55,62,109,52,Normal,Electric,695
45,45,False,6,362,Tyrunt,"Its large jaw has incredible destructive power.
Some theories suggest that its restored form is
different from its form of long ago.",89,58,48,77,Dragon,Rock,696
59,69,False,6,521,Tyrantrum,"Complete restoration is impossible, allowing
room for theories that its entire body was
once covered in a feather-like coat.",121,82,71,119,Dragon,Rock,697
63,67,False,6,362,Amaura,"It lived in cold areas in ancient times. It’s said
that when Amaura whinnies, auroras appear in
the night sky.",59,77,46,50,Ice,Rock,698
92,99,False,6,521,Aurorus,"An Aurorus was found frozen solid within a
glacier, just as it appeared long ago, which
became quite a big event in the news.",77,123,58,72,Ice,Rock,699
130,110,False,6,525,Sylveon,"Once a fight breaks out, it will unflinchingly
charge at dragon Pokémon that are many times
larger than itself.",65,95,60,65,,Fairy,700
63,74,False,6,500,Hawlucha,"It overwhelms opponents with quick moves, but
sometimes it showboats for too long when it’s
using a special move and gets itself into a pinch.",92,78,118,75,Flying,Fighting,701
67,81,False,6,431,Dedenne,"It sneaks into people’s homes and steals
electricity from their outlets. When your electric
bill seems off, it’s the handiwork of this rascal.",58,67,101,57,Fairy,Electric,702
150,50,False,6,500,Carbink,"Some say that deep beneath the surface of the
world, a pack of Carbink live with their queen in
a kingdom of jewels.",50,50,50,150,Fairy,Rock,703
75,55,False,6,300,Goomy,"It uses its horns to check out its surroundings.
They’re very sensitive, so if you grab them, it
will feel a strong shock and be unable to move.",50,45,40,35,,Dragon,704
113,83,False,6,452,Sliggoo,"It crawls along sluggishly. The swirly protrusion
on its back is filled with its brain and
other organs.",75,68,60,53,,Dragon,705
150,110,False,6,600,Goodra,"It’s very friendly toward people. If you grow
close to it, Goodra will hug you with its sticky,
slime-covered body. Don’t get mad.",100,90,80,70,,Dragon,706
87,80,False,6,470,Klefki,"Although it’s unclear why it collects keys, giving
it a key makes Klefki very happy. However, it
apparently only likes master keys.",80,57,75,91,Fairy,Steel,707
60,50,False,6,309,Phantump,"By imitating the voice of a child, it causes
people to get hopelessly lost deep in the forest.
It’s trying to make friends with them.",70,43,38,48,Grass,Ghost,708
82,65,False,6,474,Trevenant,"It’s feared as a ghost of the forest.
Lumberjacks bring along Fire types, which
Trevenant hates, when they enter the forest.",110,85,56,76,Grass,Ghost,709
55,44,False,6,335,PumpkabooAverage Size,"It is said to carry wandering spirits
to the place where they belong
so they can move on.",66,49,51,70,Grass,Ghost,710
75,58,False,6,494,GourgeistAverage Size,"It enwraps its prey in its hairlike arms.
It sings joyfully as it observes the
suffering of its prey.",90,65,84,122,Grass,Ghost,711
35,32,False,6,304,Bergmite,"Using air of -150 degrees Fahrenheit, they
freeze opponents solid. They live in herds
above the snow line on mountains.",69,55,28,85,,Ice,712
46,44,False,6,514,Avalugg,"The way several Bergmite huddle
on its back makes it look like
an aircraft carrier made of ice.",117,95,28,184,,Ice,713
40,45,False,6,245,Noibat,"Fruits are its favorite foods. This gourmet
carefully picks out just the ripe ones using
its sonar.",30,40,55,35,Dragon,Flying,714
80,97,False,6,535,Noivern,"Although it has a violent disposition, if you give
it a nice ripe fruit that it loves, Noivern will
suddenly become tame.",70,85,123,80,Dragon,Flying,715
98,131,True,6,680,Xerneas,"When the horns on its head shine
in seven colors, it is said to be
sharing everlasting life.",131,126,99,95,,Fairy,716
98,131,True,6,680,Yveltal,"When its life comes to an end, it absorbs
the life energy of every living thing
and turns into a cocoon once more.",131,126,99,95,Flying,Dark,717
95,81,True,6,600,Zygarde50% Forme,"This is Zygarde’s form when about half of its
pieces have been assembled. It plays the role of
monitoring the ecosystem.",100,108,95,121,Ground,Dragon,718
150,100,True,6,600,Diancie,"It can instantly create many diamonds
by compressing the carbon in the air
between its hands.",100,50,50,150,Fairy,Rock,719
130,150,True,6,600,HoopaHoopa Confined,"It is said to be able to seize anything it desires
with its six rings and six huge arms. With its power
sealed, it is transformed into a much smaller form.",110,80,70,60,Ghost,Psychic,720
90,130,True,6,600,Volcanion,"It expels its internal steam from the
arms on its back. It has enough
power to blow away a mountain.",110,80,70,120,Water,Fire,721
